,state,average
0,Alabama,53.059740259740245
1,Alaska,60.64848484848485
2,Arizona,46.15363636363635
3,Arkansas,56.73140495867768
4,California,54.30545454545454
5,Colorado,62.9619834710744
6,Connecticut,62.01250000000002
7,Delaware,56.945454545454545
8,District of Columbia,61.44545454545453
9,Florida,49.77431818181819
10,Georgia,56.08525125201595
11,Hawaii,58.613636363636374
12,Idaho,58.98181818181819
13,Illinois,59.94110671936758
14,Indiana,58.43927272727274
15,Iowa,65.96454545454544
16,Kansas,60.49772727272728
17,Kentucky,56.71468531468531
18,Louisiana,56.587165775401076
19,Maine,59.131818181818176
20,Maryland,61.822159090909096
21,Massachusetts,61.08863636363637
22,Michigan,55.976175548589346
23,Minnesota,68.07451714951715
24,Mississippi,56.131818181818176
25,Missouri,60.686631016042774
26,Montana,62.39969696969697
27,Nebraska,68.71818181818182
28,Nevada,58.43181818181817
29,New Hampshire,63.84090909090908
30,New Jersey,59.90389610389611
31,New Mexico,52.25909090909091
32,New York,56.95034965034965
33,North Carolina,54.18973776223775
34,North Dakota,69.10984848484847
35,Ohio,57.200239234449754
36,Oklahoma,57.769421487603296
37,Oregon,53.4260606060606
38,Pennsylvania,56.69477272727274
39,Rhode Island,60.127272727272725
40,South Carolina,53.6952380952381
41,South Dakota,68.21363636363638
42,Tennessee,57.17636363636362
43,Texas,57.84020979020978
44,Utah,62.354545454545445
45,Vermont,66.49999999999999
46,Virginia,61.08363636363635
47,Washington,55.036363636363646
48,West Virginia,52.749350649350646
49,Wisconsin,64.28814229249012
50,Wyoming,64.68181818181817
51,Puerto Rico,41.85371900826446
